"","Municipality","Ann_cases","Year","State","MunDetailed","GAUL_CODE","Pop","Total_incid","year","GAUL_A2"
"2628","CHIAUTLA  PUEBLA",42,2009,"PUE","CHIAUTLA  PUEBLA /-/ PUE",21047,19037,0.00220622997321006,2009,21047
"2630","CHINANTLA",9,2009,"PUE","CHINANTLA /-/ PUE",21059,2468,0.00364667747163695,2009,21059
"2631","COHETZALA",1,2009,"PUE","COHETZALA /-/ PUE",21032,1283,0.000779423226812159,2009,21032
"2636","HERMENEGILDO GALEANA",45,2009,"PUE","HERMENEGILDO GALEANA /-/ PUE",21068,7718,0.00583052604301633,2009,21068
"2637","HUEHUETLA PUEBLA",14,2009,"PUE","HUEHUETLA PUEBLA /-/ PUE",21072,15689,0.000892344955064058,2009,21072
"2638","HUEHUETLAN EL CHICO",4,2009,"PUE","HUEHUETLAN EL CHICO /-/ PUE",21073,8679,0.000460882590160157,2009,21073
"2639","IXCAMILPA DE GUERRERO",1,2009,"PUE","IXCAMILPA DE GUERRERO /-/ PUE",21081,3695,0.00027063599458728,2009,21081
"2642","JALPAN",3,2009,"PUE","JALPAN /-/ PUE",21086,12547,0.000239100980314019,2009,21086
"2643","JOLALPAN",22,2009,"PUE","JOLALPAN /-/ PUE",21087,12662,0.00173748223029537,2009,21087
"2644","JOPALA",40,2009,"PUE","JOPALA /-/ PUE",21089,12997,0.00307763329999231,2009,21089
"2645","OLINTLA",19,2009,"PUE","OLINTLA /-/ PUE",21107,11641,0.00163216218537926,2009,21107
"2647","PETLALCINGO",4,2009,"PUE","PETLALCINGO /-/ PUE",21112,9382,0.000426348326582818,2009,21112
"2649","SAN GABRIEL CHILAC",26,2009,"PUE","SAN GABRIEL CHILAC /-/ PUE",21124,14454,0.0017988100179881,2009,21124
"2650","SAN JERONIMO XAYACATLAN",2,2009,"PUE","SAN JERONIMO XAYACATLAN /-/ PUE",21127,3777,0.00052952078369076,2009,21127
"2651","SAN JOSE MIAHUATLAN PUEBLA",5,2009,"PUE","SAN JOSE MIAHUATLAN PUEBLA /-/ PUE",21129,12699,0.000393731789904717,2009,21129
"2652","SAN PABLO ANICANO",2,2009,"PUE","SAN PABLO ANICANO /-/ PUE",21139,3554,0.00056274620146314,2009,21139
"2653","SAN PEDRO YELOIXTLAHUACA",1,2009,"PUE","SAN PEDRO YELOIXTLAHUACA /-/ PUE",21141,3395,0.000294550810014728,2009,21141
"2654","TEHUITZINGO",6,2009,"PUE","TEHUITZINGO /-/ PUE",21157,11328,0.000529661016949153,2009,21157
"2656","TEOTLALCO",3,2009,"PUE","TEOTLALCO /-/ PUE",21160,3121,0.000961230374879846,2009,21160
"2658","TILAPA",2,2009,"PUE","TILAPA /-/ PUE",21176,8401,0.000238066896798,2009,21176
"2661","TULCINGO",2,2009,"PUE","TULCINGO /-/ PUE",21191,9245,0.000216333153055706,2009,21191
"2662","VENUSTIANO CARRANZA PUEBLA",26,2009,"PUE","VENUSTIANO CARRANZA PUEBLA /-/ PUE",21194,27890,0.000932233775546791,2009,21194
"2663","XAYACATLAN DE BRAVO",2,2009,"PUE","XAYACATLAN DE BRAVO /-/ PUE",21196,1649,0.00121285627653123,2009,21196
"2666","ZINACATEPEC",4,2009,"PUE","ZINACATEPEC /-/ PUE",21214,15690,0.000254939451880178,2009,21214
"2668","JALPAN DE SERRA",31,2009,"QUE","JALPAN DE SERRA /-/ QUE",22009,25550,0.0012133072407045,2009,22009
"2680","AQUISMON",16,2009,"SLP","AQUISMON /-/ SLP",24003,47423,0.000337389030639141,2009,24003
"2681","AXTLA DE TERRAZAS",298,2009,"SLP","AXTLA DE TERRAZAS /-/ SLP",24053,33245,0.0089637539479621,2009,24053
"2686","EBANO",33,2009,"SLP","EBANO /-/ SLP",24016,41529,0.000794625442461894,2009,24016
"2687","EL NARANJO",5,2009,"SLP","EL NARANJO /-/ SLP",24058,20495,0.000243961941937058,2009,24058
"2689","LAGUNILLAS",2,2009,"SLP","LAGUNILLAS /-/ SLP",24019,5774,0.000346380325597506,2009,24019
"2692","SAN ANTONIO",19,2009,"SLP","SAN ANTONIO /-/ SLP",24026,9390,0.0020234291799787,2009,24026
"2695","SANTA CATARINA",3,2009,"SLP","SANTA CATARINA /-/ SLP",24031,11835,0.000253485424588086,2009,24031
"2697","TAMAZUNCHALE",594,2009,"SLP","TAMAZUNCHALE /-/ SLP",24037,96820,0.00613509605453419,2009,24037
"2698","TAMPACAN",45,2009,"SLP","TAMPACAN /-/ SLP",24038,15838,0.00284126783684809,2009,24038
"2699","TAMPAMOLON",12,2009,"SLP","TAMPAMOLON /-/ SLP",24039,14274,0.000840689365279529,2009,24039
"2701","TANCANHUITZ SANTOS",37,2009,"SLP","TANCANHUITZ SANTOS /-/ SLP",24012,21039,0.00175863871857027,2009,24012
"2703","TANQUIAN DE ESCOBEDO",10,2009,"SLP","TANQUIAN DE ESCOBEDO /-/ SLP",24042,14382,0.000695313586427479,2009,24042
"2705","XILITLA",462,2009,"SLP","XILITLA /-/ SLP",24054,51498,0.00897122218338576,2009,24054
"2714","ESCUINAPA",27,2009,"SIN","ESCUINAPA /-/ SIN",25009,54131,0.000498789972474183,2009,25009
"2721","SALVADOR ALVARADO",16,2009,"SIN","SALVADOR ALVARADO /-/ SIN",25015,79085,0.000202313965985964,2009,25015
"2727","CAJEME",102,2009,"SON","CAJEME /-/ SON",26018,409310,0.000249199872956928,2009,26018
"2732","NAVOJOA",85,2009,"SON","NAVOJOA /-/ SON",26042,157729,0.000538898997647864,2009,26042
"2734","BALANCAN",72,2009,"TAB","BALANCAN /-/ TAB",27001,56739,0.00126896843441019,2009,27001
"2736","CENTLA",72,2009,"TAB","CENTLA /-/ TAB",27003,102110,0.000705121927333268,2009,27003
"2738","COMALCALCO",137,2009,"TAB","COMALCALCO /-/ TAB",27005,192802,0.000710573541768239,2009,27005
"2741","HUIMANGUILLO",199,2009,"TAB","HUIMANGUILLO /-/ TAB",27008,179285,0.0011099645815322,2009,27008
"2742","JALAPA",87,2009,"TAB","JALAPA /-/ TAB",27009,36391,0.00239070099749938,2009,27009
"2743","JALPA DE MENDEZ",174,2009,"TAB","JALPA DE MENDEZ /-/ TAB",27010,83356,0.00208743221843659,2009,27010
"2744","JONUTA",20,2009,"TAB","JONUTA /-/ TAB",27011,29511,0.000677713395005252,2009,27011
"2745","MACUSPANA",217,2009,"TAB","MACUSPANA /-/ TAB",27012,153132,0.00141707807643079,2009,27012
"2749","TEAPA",106,2009,"TAB","TEAPA /-/ TAB",27016,53555,0.00197927364391747,2009,27016
"2760","MANTE,EL",38,2009,"TAM","MANTE,EL /-/ TAM",28021,115792,0.000328174658007462,2009,28021
"2773","ACULA",14,2009,"VER","ACULA /-/ VER",30005,5129,0.00272957691557809,2009,30005
"2887","TUXTILLA",2,2009,"VER","TUXTILLA /-/ VER",30190,2177,0.00091869545245751,2009,30190
"2903","CELESTUN",18,2009,"YUC","CELESTUN /-/ YUC",31011,6831,0.00263504611330698,2009,31011
"2904","CENOTILLO YUC",1,2009,"YUC","CENOTILLO YUC /-/ YUC",31012,3701,0.000270197243988111,2009,31012
"2909","CHICXULUB PUEBLO",2,2009,"YUC","CHICXULUB PUEBLO /-/ YUC",31020,4113,0.000486263068319961,2009,31020
"2911","CUZAMA",2,2009,"YUC","CUZAMA /-/ YUC",31015,4966,0.000402738622633911,2009,31015
"2917","HOCTUN",5,2009,"YUC","HOCTUN /-/ YUC",31035,5697,0.000877654906090925,2009,31035
"2918","HOMUN",2,2009,"YUC","HOMUN /-/ YUC",31036,7257,0.000275595976298746,2009,31036
"2923","KANASIN",54,2009,"YUC","KANASIN /-/ YUC",31041,78709,0.000686071478484036,2009,31041
"2924","KANTUNIL",2,2009,"YUC","KANTUNIL /-/ YUC",31042,5502,0.000363504180298073,2009,31042
"2931","MUXUPIP",2,2009,"YUC","MUXUPIP /-/ YUC",31054,2755,0.000725952813067151,2009,31054
"2941","SEYE",18,2009,"YUC","SEYE /-/ YUC",31067,9276,0.0019404915912031,2009,31067
"2942","SINANCHE",1,2009,"YUC","SINANCHE /-/ YUC",31068,3126,0.000319897632757518,2009,31068
"2944","SUMA",1,2009,"YUC","SUMA /-/ YUC",31072,1876,0.000533049040511727,2009,31072
"2947","TEKAL DE VENEGAS",1,2009,"YUC","TEKAL DE VENEGAS /-/ YUC",31077,2606,0.000383729854182655,2009,31077
"2948","TEKANTO",5,2009,"YUC","TEKANTO /-/ YUC",31078,3683,0.0013575889220744,2009,31078
"2950","TELCHAC PUEBLO",1,2009,"YUC","TELCHAC PUEBLO /-/ YUC",31082,3557,0.000281135788585887,2009,31082
"2951","TEMAX",6,2009,"YUC","TEMAX /-/ YUC",31084,6817,0.000880152559777028,2009,31084
"2964","UAYMA",4,2009,"YUC","UAYMA /-/ YUC",31099,3782,0.00105764145954521,2009,31099
"2968","XOCCHEL",8,2009,"YUC","XOCCHEL /-/ YUC",31103,3236,0.00247218788627936,2009,31103
"2970","YAXKUKUL",5,2009,"YUC","YAXKUKUL /-/ YUC",31105,2868,0.00174337517433752,2009,31105
"2980","CALKINI",18,2010,"CAM","CALKINI /-/ CAM",4001,52890,0.000340328984685196,2010,4001
"2986","HECELCHAKAN",14,2010,"CAM","HECELCHAKAN /-/ CAM",4005,28306,0.000494594785557832,2010,4005
"2996","BEJUCAL DE OCAMPO CHIAPAS",6,2010,"CHP","BEJUCAL DE OCAMPO CHIAPAS /-/ CHP",7010,7623,0.000787091696182605,2010,7010
"3002","CATAZAJA",9,2010,"CHP","CATAZAJA /-/ CHP",7016,17140,0.000525087514585764,2010,7016
"3020","LIBERTAD LA",2,2010,"CHP","LIBERTAD LA /-/ CHP",7050,4974,0.000402090872537193,2010,7050
"3038","ROSAS LAS",7,2010,"CHP","ROSAS LAS /-/ CHP",7075,25530,0.00027418723070897,2010,7075
"3046","SITALA  CHIAPAS",5,2010,"CHP","SITALA  CHIAPAS /-/ CHP",7082,12269,0.000407531176134974,2010,7082
"3070","PROGRESO",1,2010,"COA","PROGRESO /-/ COA",5026,3473,0.000287935502447452,2010,5026
"3097","ATLIXTAC",6,2010,"GRO","ATLIXTAC /-/ GRO",12010,26341,0.000227781785049922,2010,12010
"3103","CHILAPA DE ALVAREZ",50,2010,"GRO","CHILAPA DE ALVAREZ /-/ GRO",12028,120790,0.000413941551452935,2010,12028
"3114","CUAUTEPEC",26,2010,"GRO","CUAUTEPEC /-/ GRO",12025,15115,0.00172014555077737,2010,12025
"3147","TETIPAC",5,2010,"GRO","TETIPAC /-/ GRO",12060,13128,0.000380865326020719,2010,12060
"3149","TLACOACHISTLAHUACA",17,2010,"GRO","TLACOACHISTLAHUACA /-/ GRO",12062,21306,0.000797897305923214,2010,12062
"3157","XOCHIHUEHUETLAN",87,2010,"GRO","XOCHIHUEHUETLAN /-/ GRO",12070,7079,0.0122898714507699,2010,12070
"3194","LIMON EL",6,2010,"JAL","LIMON EL /-/ JAL",14054,5499,0.0010911074740862,2010,14054
"3204","TALPA DE ALLENDE",10,2010,"JAL","TALPA DE ALLENDE /-/ JAL",14084,14410,0.000693962526023595,2010,14084
"3218","TUXCACUESCO",4,2010,"JAL","TUXCACUESCO /-/ JAL",14106,4234,0.000944733112895607,2010,14106
"3251","IXTLAN",6,2010,"MIC","IXTLAN /-/ MIC",16042,13584,0.000441696113074205,2010,16042
"3266","SAHUAYO",45,2010,"MIC","SAHUAYO /-/ MIC",16076,72841,0.000617783940363257,2010,16076
"3277","VILLAMAR",4,2010,"MIC","VILLAMAR /-/ MIC",16104,16991,0.000235418751103525,2010,16104
"3323","ABASOLO NVO LEON",2,2010,"NLE","ABASOLO NVO LEON /-/ NLE",19001,2791,0.000716589036187746,2010,19001
"3324","ALDAMAS LOS",1,2010,"NLE","ALDAMAS LOS /-/ NLE",19003,1374,0.000727802037845706,2010,19003
"3329","CARMEN  NVO LEON",7,2010,"NLE","CARMEN  NVO LEON /-/ NLE",19010,16092,0.000434998757146408,2010,19010
"3336","GALEANA",16,2010,"NLE","GALEANA /-/ NLE",19017,39991,0.000400090020254557,2010,19017
"3338","GENERAL BRAVO",3,2010,"NLE","GENERAL BRAVO /-/ NLE",19020,5527,0.000542789940293107,2010,19020
"3343","HIDALGO NVO LEON",5,2010,"NLE","HIDALGO NVO LEON /-/ NLE",19047,16604,0.000301132257287401,2010,19047
"3345","HUALAHUISES",10,2010,"NLE","HUALAHUISES /-/ NLE",19029,6914,0.00144634075788256,2010,19029
"3347","LAMPAZOS DE NARANJO",2,2010,"NLE","LAMPAZOS DE NARANJO /-/ NLE",19032,5349,0.000373901663862404,2010,19032
"3350","MELCHOR OCAMPO NVO LEON",3,2010,"NLE","MELCHOR OCAMPO NVO LEON /-/ NLE",19035,862,0.00348027842227378,2010,19035
"3351","MIER Y NORIEGA",2,2010,"NLE","MIER Y NORIEGA /-/ NLE",19036,7095,0.000281888653981677,2010,19036
"3352","MINA",3,2010,"NLE","MINA /-/ NLE",19037,5447,0.0005507618872774,2010,19037
"3358","SABINAS HIDALGO",27,2010,"NLE","SABINAS HIDALGO /-/ NLE",19044,34671,0.000778748810244873,2010,19044
"3363","SANTIAGO",26,2010,"NLE","SANTIAGO /-/ NLE",19049,40469,0.00064246707356248,2010,19049
"3365","VILLALDAMA",4,2010,"NLE","VILLALDAMA /-/ NLE",19051,4113,0.000972526136639922,2010,19051
"3376","FRESNILLO DE TRUJANO",1,2010,"OAX","FRESNILLO DE TRUJANO /-/ OAX",20032,1033,0.000968054211035818,2010,20032
"3377","GUADALUPE RAMIREZ",9,2010,"OAX","GUADALUPE RAMIREZ /-/ OAX",20034,1425,0.00631578947368421,2010,20034
"3382","MARISCALA DE JUAREZ",6,2010,"OAX","MARISCALA DE JUAREZ /-/ OAX",20055,3530,0.00169971671388102,2010,20055
"3386","NAZARENO ETLA",6,2010,"OAX","NAZARENO ETLA /-/ OAX",20063,3882,0.00154559505409583,2010,20063
"3393","PUTLA VILLA DE GUERRERO",19,2010,"OAX","PUTLA VILLA DE GUERRERO /-/ OAX",20073,31897,0.000595667304135185,2010,20073
"3394","REFORMA DE PINEDA",1,2010,"OAX","REFORMA DE PINEDA /-/ OAX",20075,2671,0.000374391613627855,2010,20075
"3395","REFORMA LA",5,2010,"OAX","REFORMA LA /-/ OAX",20076,3331,0.00150105073551486,2010,20076
"3397","SAN AGUSTIN AMATENGO",1,2010,"OAX","SAN AGUSTIN AMATENGO /-/ OAX",20080,1312,0.00076219512195122,2010,20080
"3403","SAN ANTONINO CASTILLO VELASCO",3,2010,"OAX","SAN ANTONINO CASTILLO VELASCO /-/ OAX",20103,5651,0.000530879490355689,2010,20103
"3407","SAN CARLOS YAUTEPEC OAX",3,2010,"OAX","SAN CARLOS YAUTEPEC OAX /-/ OAX",20125,11813,0.000253957504444256,2010,20125
"3410","SAN FELIPE USILA",3,2010,"OAX","SAN FELIPE USILA /-/ OAX",20136,11575,0.000259179265658747,2010,20136
"3411","SAN FRANCISCO CHAPULAPA",2,2010,"OAX","SAN FRANCISCO CHAPULAPA /-/ OAX",20139,2136,0.000936329588014981,2010,20139
"3414","SAN FRANCISCO LACHIGOLO",1,2010,"OAX","SAN FRANCISCO LACHIGOLO /-/ OAX",20145,3474,0.000287852619458837,2010,20145
"3418","SAN JOSE AYUQUILA",2,2010,"OAX","SAN JOSE AYUQUILA /-/ OAX",20165,1511,0.00132362673726009,2010,20165
"3421","SAN JUAN BAUTISTA JAYACATLAN",1,2010,"OAX","SAN JUAN BAUTISTA JAYACATLAN /-/ OAX",20179,1462,0.000683994528043776,2010,20179
"3423","SAN JUAN BAUTISTA TLACHICHILCO",9,2010,"OAX","SAN JUAN BAUTISTA TLACHICHILCO /-/ OAX",20183,1447,0.00621976503109883,2010,20183
"3424","SAN JUAN BAUTISTA TLACOATZINTEPEC",2,2010,"OAX","SAN JUAN BAUTISTA TLACOATZINTEPEC /-/ OAX",20182,2292,0.00087260034904014,2010,20182
"3432","SAN JUAN LAJARCIA",1,2010,"OAX","SAN JUAN LAJARCIA /-/ OAX",20204,715,0.0013986013986014,2010,20204
"3435","SAN MARTIN TILCAJETE",2,2010,"OAX","SAN MARTIN TILCAJETE /-/ OAX",20243,1742,0.00114810562571757,2010,20243
"3436","SAN MARTIN ZACATEPEC",2,2010,"OAX","SAN MARTIN ZACATEPEC /-/ OAX",20245,1277,0.00156617071260767,2010,20245
"3438","SAN MATEO NEJAPAM",1,2010,"OAX","SAN MATEO NEJAPAM /-/ OAX",20251,1180,0.000847457627118644,2010,20251
"3440","SAN MIGUEL AMATITLAN",5,2010,"OAX","SAN MIGUEL AMATITLAN /-/ OAX",20261,7244,0.000690226394257316,2010,20261
"3443","SAN MIGUEL TALEA DE CASTRO",1,2010,"OAX","SAN MIGUEL TALEA DE CASTRO /-/ OAX",20280,2394,0.000417710944026733,2010,20280
"3444","SAN NICOLAS HIDALGO",7,2010,"OAX","SAN NICOLAS HIDALGO /-/ OAX",20290,1012,0.00691699604743083,2010,20290
"3445","SAN PABLO ETLA",5,2010,"OAX","SAN PABLO ETLA /-/ OAX",20293,15535,0.000321853878339234,2010,20293
"3446","SAN PABLO VILLA DE MITLA",3,2010,"OAX","SAN PABLO VILLA DE MITLA /-/ OAX",20298,11825,0.000253699788583509,2010,20298
"3457","SAN SEBASTIAN ABASOLO",1,2010,"OAX","SAN SEBASTIAN ABASOLO /-/ OAX",20343,1849,0.000540832882639265,2010,20343
"3462","SANTA CRUZ TACACHE DE MINA",7,2010,"OAX","SANTA CRUZ TACACHE DE MINA /-/ OAX",20381,2606,0.00268610897927859,2010,20381
"3465","SANTA LUCIA OCOTLAN",2,2010,"OAX","SANTA LUCIA OCOTLAN /-/ OAX",20393,3604,0.000554938956714761,2010,20393
"3470","SANTA MARIA COYOTEPEC",1,2010,"OAX","SANTA MARIA COYOTEPEC /-/ OAX",20403,2772,0.000360750360750361,2010,20403
"3481","SANTIAGO CHAZUMBA",1,2010,"OAX","SANTIAGO CHAZUMBA /-/ OAX",20459,4479,0.000223264121455682,2010,20459
"3482","SANTIAGO CHOAPAM",3,2010,"OAX","SANTIAGO CHOAPAM /-/ OAX",20460,5413,0.000554221319046739,2010,20460
"3489","SANTIAGO TAMAZOLA",21,2010,"OAX","SANTIAGO TAMAZOLA /-/ OAX",20484,4207,0.00499168053244592,2010,20484
"3492","SANTIAGO YUCUYACHI",2,2010,"OAX","SANTIAGO YUCUYACHI /-/ OAX",20501,940,0.00212765957446809,2010,20501
"3499","SILACAYOAPAM",2,2010,"OAX","SILACAYOAPAM /-/ OAX",20537,6747,0.000296428042092782,2010,20537
"3507","AHUATLAN",1,2010,"PUE","AHUATLAN /-/ PUE",21007,3403,0.00029385836027035,2010,21007
"3516","CHIGMECATITLAN",2,2010,"PUE","CHIGMECATITLAN /-/ PUE",21052,1227,0.00162999185004075,2010,21052
"3518","COATZINGO",1,2010,"PUE","COATZINGO /-/ PUE",21031,2964,0.000337381916329285,2010,21031
"3519","COHUECAN",8,2010,"PUE","COHUECAN /-/ PUE",21033,4763,0.00167961368885156,2010,21033
"3520","COXCATLAN  PUEBLA",42,2010,"PUE","COXCATLAN  PUEBLA /-/ PUE",21035,19639,0.0021386017618005,2010,21035
"3521","CUAYUCA DE ANDRADE",19,2010,"PUE","CUAYUCA DE ANDRADE /-/ PUE",21042,3062,0.0062050947093403,2010,21042
"3523","EPATLAN",8,2010,"PUE","EPATLAN /-/ PUE",21062,4594,0.00174140182847192,2010,21062
"3527","HUAQUECHULA",21,2010,"PUE","HUAQUECHULA /-/ PUE",21069,25373,0.000827651440507626,2010,21069
"3551","TEPEOJUMA",9,2010,"PUE","TEPEOJUMA /-/ PUE",21166,8056,0.00111717974180735,2010,21166
"3552","TEPEXCO",6,2010,"PUE","TEPEXCO /-/ PUE",21168,6580,0.000911854103343465,2010,21168
"3554","TLAPANALA",10,2010,"PUE","TLAPANALA /-/ PUE",21185,8404,0.00118990956687292,2010,21185
"3560","ZACAPALA",11,2010,"PUE","ZACAPALA /-/ PUE",21206,4224,0.00260416666666667,2010,21206
"3562","ZAPOTITLAN DE MENDEZ",2,2010,"PUE","ZAPOTITLAN DE MENDEZ /-/ PUE",21210,5608,0.000356633380884451,2010,21210
"3591","TAMASOPO",15,2010,"SLP","TAMASOPO /-/ SLP",24036,28848,0.000519966722129784,2010,24036
"3617","ALTAR",2,2010,"SON","ALTAR /-/ SON",26004,9049,0.000221018897115703,2010,26004
"3626","OPODEPE",2,2010,"SON","OPODEPE /-/ SON",26045,2878,0.000694927032661571,2010,26045
"3628","SAN IGNACIO RIO MUERTO",6,2010,"SON","SAN IGNACIO RIO MUERTO /-/ SON",26072,14136,0.000424448217317487,2010,26072
"3630","SAN MIGUEL DE HORCASITAS",6,2010,"SON","SAN MIGUEL DE HORCASITAS /-/ SON",26056,8382,0.000715819613457409,2010,26056
"3633","YECORA",6,2010,"SON","YECORA /-/ SON",26069,6046,0.000992391663910023,2010,26069
"3665","PALMILLAS",1,2010,"TAM","PALMILLAS /-/ TAM",28031,1795,0.000557103064066852,2010,28031
"3667","RIO BRAVO",203,2010,"TAM","RIO BRAVO /-/ TAM",28033,118259,0.0017165712546191,2010,28033
"3780","CHIKINDZONOT",1,2010,"YUC","CHIKINDZONOT /-/ YUC",31022,4162,0.000240269101393561,2010,31022
"3781","CHOCHOLA",1,2010,"YUC","CHOCHOLA /-/ YUC",31023,4530,0.00022075055187638,2010,31023
"3782","CHUMAYEL",11,2010,"YUC","CHUMAYEL /-/ YUC",31024,3148,0.00349428208386277,2010,31024
"3783","CONKAL",3,2010,"YUC","CONKAL /-/ YUC",31013,9143,0.000328119873126982,2010,31013
"3816","QUINTANA ROO",1,2010,"YUC","QUINTANA ROO /-/ YUC",31060,942,0.00106157112526539,2010,31060
"3851","YOBAIN",1,2010,"YUC","YOBAIN /-/ YUC",31106,2137,0.000467945718296678,2010,31106
"3886","COAPILLA",6,2011,"CHP","COAPILLA /-/ CHP",7018,8444,0.000710563713879678,2011,7018
"3897","JIQUIPILAS",11,2011,"CHP","JIQUIPILAS /-/ CHP",7046,37818,0.00029086678301338,2011,7046
"3901","MARGARITAS LAS",23,2011,"CHP","MARGARITAS LAS /-/ CHP",7052,111484,0.000206307631588389,2011,7052
"3988","GENERAL HELIODORO CASTILLO",26,2011,"GRO","GENERAL HELIODORO CASTILLO /-/ GRO",12032,36586,0.000710654348657957,2011,12032
"4064","CHURUMUCO",4,2011,"MIC","CHURUMUCO /-/ MIC",16029,14366,0.000278435194208548,2011,16029
"4136","DOCTOR ARROYO",8,2011,"NLE","DOCTOR ARROYO /-/ NLE",19014,35445,0.00022570179150797,2011,19014
"4146","HERRERAS LOS",3,2011,"NLE","HERRERAS LOS /-/ NLE",19027,2030,0.00147783251231527,2011,19027
"4191","SAN BARTOLO YAUTEPEC",1,2011,"OAX","SAN BARTOLO YAUTEPEC /-/ OAX",20122,677,0.00147710487444609,2011,20122
"4208","SAN LORENZO",15,2011,"OAX","SAN LORENZO /-/ OAX",20225,5955,0.00251889168765743,2011,20225
"4242","SANTIAGO IXTAYUTLA",4,2011,"OAX","SANTIAGO IXTAYUTLA /-/ OAX",20466,11917,0.000335654946714777,2011,20466
"4246","SANTIAGO SUCHILQUITONGO",2,2011,"OAX","SANTIAGO SUCHILQUITONGO /-/ OAX",20483,9542,0.000209599664640537,2011,20483
"4262","CHILA",2,2011,"PUE","CHILA /-/ PUE",21055,4699,0.000425622472866567,2011,21055
"4263","CHILA DE LA SAL",3,2011,"PUE","CHILA DE LA SAL /-/ PUE",21056,1237,0.00242522231204527,2011,21056
"4269","HUEHUETLAN EL GRANDE",4,2011,"PUE","HUEHUETLAN EL GRANDE /-/ PUE",21150,7060,0.00056657223796034,2011,21150
"4286","ARROYO SECO",22,2011,"QUE","ARROYO SECO /-/ QUE",22003,12910,0.00170410534469404,2011,22003
"4298","TULUM",6,2011,"ROO","TULUM /-/ ROO",23009,28263,0.000212291688780384,2011,23009
"4340","ONAVAS",1,2011,"SON","ONAVAS /-/ SON",26044,399,0.0025062656641604,2011,26044
"4472","CANTAMAYEC",1,2011,"YUC","CANTAMAYEC /-/ YUC",31010,2407,0.000415454923140839,2011,31010
"4475","CHACSINKIN",1,2011,"YUC","CHACSINKIN /-/ YUC",31016,2818,0.00035486160397445,2011,31016
"4504","MAMA",1,2011,"YUC","MAMA /-/ YUC",31046,2888,0.000346260387811634,2011,31046
"4520","SANAHCAT",1,2011,"YUC","SANAHCAT /-/ YUC",31064,1619,0.000617665225447807,2011,31064
"4526","SUDZAL",7,2011,"YUC","SUDZAL /-/ YUC",31071,1689,0.00414446417998816,2011,31071
"4538","TELCHAC PUERTO",8,2011,"YUC","TELCHAC PUERTO /-/ YUC",31083,1726,0.00463499420625724,2011,31083
"4541","TEPAKAN",1,2011,"YUC","TEPAKAN /-/ YUC",31086,2226,0.000449236298292902,2011,31086
"4545","TIMUCUY",2,2011,"YUC","TIMUCUY /-/ YUC",31090,6833,0.000292697204741695,2011,31090
"4640","SOLOSUCHIAPA",2,2012,"CHP","SOLOSUCHIAPA /-/ CHP",7084,8065,0.000247985120892746,2012,7084
"4644","SUNUAPA",1,2012,"CHP","SUNUAPA /-/ CHP",7088,2235,0.000447427293064877,2012,7088
"4649","TILA",16,2012,"CHP","TILA /-/ CHP",7096,71432,0.000223989248516071,2012,7096
"4666","MUZQUIZ",29,2012,"COA","MUZQUIZ /-/ COA",5020,66834,0.000433910883681958,2012,5020
"4669","RAMOS ARIZPE",55,2012,"COA","RAMOS ARIZPE /-/ COA",5027,75461,0.000728853314957395,2012,5027
"4795","HOSTOTIPAQUILLO",13,2012,"JAL","HOSTOTIPAQUILLO /-/ JAL",14040,10284,0.00126409957215091,2012,14040
"4798","MAGDALENA  JAL",55,2012,"JAL","MAGDALENA  JAL /-/ JAL",14055,21321,0.00257961634069697,2012,14055
"4814","TUXCUECA  JAL",5,2012,"JAL","TUXCUECA  JAL /-/ JAL",14107,6316,0.000791640278657378,2012,14107
"4831","LUVIANOS",16,2012,"MEX","LUVIANOS /-/ MEX",15123,27781,0.000575933191749757,2012,15123
"4832","MALINALCO",26,2012,"MEX","MALINALCO /-/ MEX",15052,25624,0.00101467374336559,2012,15052
"4834","NAUCALPAN",8,2012,"MEX","NAUCALPAN /-/ MEX",15117,15121,0.000529065537993519,2012,15117
"4838","SANTO TOMAS",9,2012,"MEX","SANTO TOMAS /-/ MEX",15078,9111,0.000987816924596642,2012,15078
"4841","TEJUPILCO",121,2012,"MEX","TEJUPILCO /-/ MEX",15082,71077,0.00170237910997932,2012,15082
"4873","PIEDAD LA",55,2012,"MIC","PIEDAD LA /-/ MIC",16069,99576,0.000552341929782277,2012,16069
"4914","TLAYACAPAN",14,2012,"MOR","TLAYACAPAN /-/ MOR",17026,16543,0.000846279393096778,2012,17026
"4936","BUSTAMANTE",1,2012,"NLE","BUSTAMANTE /-/ NLE",19008,3773,0.000265041081367612,2012,19008
"4939","CERRALVO",2,2012,"NLE","CERRALVO /-/ NLE",19011,7855,0.000254614894971356,2012,19011
"4964","PARAS",1,2012,"NLE","PARAS /-/ NLE",19040,1034,0.000967117988394584,2012,19040
"4982","COATECAS ALTAS",1,2012,"OAX","COATECAS ALTAS /-/ OAX",20015,4712,0.000212224108658744,2012,20015
"4987","IXTLAN DE JUAREZ",7,2012,"OAX","IXTLAN DE JUAREZ /-/ OAX",20042,7674,0.000912170966901225,2012,20042
"5016","SAN ILDEFONSO VILLA ALTA",1,2012,"OAX","SAN ILDEFONSO VILLA ALTA /-/ OAX",20156,3478,0.000287521564117309,2012,20156
"5027","SAN JUAN LALANA",5,2012,"OAX","SAN JUAN LALANA /-/ OAX",20205,17398,0.000287389355098287,2012,20205
